AALI,2019-12-23,13575,13625,13525,13600,837700,712,54000
ABBA,2019-12-23,110,112,107,108,15654200,1133,0
ABDA,2019-12-23,0,0,0,6975,0,0,0
ABMM,2019-12-23,1530,1530,1530,1530,100,1,0
ACES,2019-12-23,1610,1610,1550,1550,7008700,2491,1872500
ACST,2019-12-23,1050,1050,1010,1050,481000,257,407500
ADES,2019-12-23,1045,1080,1045,1045,24900,28,0
ADHI,2019-12-23,1210,1215,1180,1185,7448200,1433,530000
ADMF,2019-12-23,10375,10400,10350,10375,19500,34,14400
ADMG,2019-12-23,184,187,183,186,677400,90,0
ADRO,2019-12-23,1540,1590,1540,1580,51031300,6929,-942800
AGAR,2019-12-23,456,456,446,452,382500,60,0
AGII,2019-12-23,640,650,635,645,194200,92,-4600
AGRO,2019-12-23,218,222,204,206,13349500,1643,-5200
AGRS,2019-12-23,135,140,135,136,61300,20,0
AHAP,2019-12-23,60,60,57,58,88200,23,0
AIMS,2019-12-23,0,0,0,180,0,0,0
AISA,2019-12-23,0,0,0,168,0,0,0
AKKU,2019-12-23,58,63,54,57,57032100,1116,2200
AKPI,2019-12-23,390,390,390,390,300,1,0
AKRA,2019-12-23,4000,4000,3950,3960,14939300,1795,3195200
AKSI,2019-12-23,1640,1655,1590,1600,1819700,411,-5900
ALDO,2019-12-23,390,400,380,400,12300,6,0
ALKA,2019-12-23,540,540,410,490,19000,23,0
ALMI,2019-12-23,380,380,312,364,5400,9,0
ALTO,2019-12-23,394,398,392,398,24515400,31,0
AMAG,2019-12-23,0,0,0,296,0,0,0
AMFG,2019-12-23,3380,3390,3370,3390,1800,3,0
AMIN,2019-12-23,342,342,322,322,200,2,0
AMRT,2019-12-23,820,855,820,850,37500,54,-300
ANDI,2019-12-23,50,50,50,50,167100,36,0
ANJT,2019-12-23,865,875,845,875,28300,23,0
ANTM,2019-12-23,835,845,825,825,38930900,3704,1073800
APEX,2019-12-23,324,348,324,348,800,4,0
APIC,2019-12-23,675,680,660,670,20987200,2771,438900
APII,2019-12-23,172,180,172,180,400,3,0
APLI,2019-12-23,155,161,150,160,751900,51,0
APLN,2019-12-23,177,178,175,175,7834100,680,57400
APOL,2019-12-23,0,0,0,50,0,0,0
ARGO,2019-12-23,0,0,0,825,0,0,0
ARII,2019-12-23,800,800,705,705,15300,7,0
ARKA,2019-12-23,2220,2250,2220,2220,496700,830,0
ARMY,2019-12-23,0,0,0,50,0,0,0
