AALI,Astra Agro Lestari Tbk.
ABBA,Mahaka Media Tbk.
ABDA,Asuransi Bina Dana Arta Tbk.
ABMM,ABM Investama Tbk.
ACES,Ace Hardware Indonesia Tbk.
ACST,Acset Indonusa Tbk.
ADES,Akasha Wira International Tbk.
ADHI,Adhi Karya (Persero) Tbk.
ADMF,Adira Dinamika Multi Finance Tbk.
ADMG,Polychem Indonesia Tbk
ADRO,Adaro Energy Tbk.
AGAR,Asia Sejahtera Mina Tbk.
AGII,Aneka Gas Industri Tbk.
AGRO,Bank Rakyat Indonesia Agroniaga Tbk.
AGRS,Bank IBK Indonesia Tbk.
AHAP,Asuransi Harta Aman Pratama Tbk.
AIMS,Akbar Indo Makmur Stimec Tbk
AISA,Tiga Pilar Sejahtera Food Tbk.
AKKU,Anugerah Kagum Karya Utama Tbk.
AKPI,Argha Karya Prima Industry Tbk.
AKRA,AKR Corporindo Tbk.
AKSI,Maming Enam Sembilan Mineral Tbk.
ALDO,Alkindo Naratama Tbk.
ALKA,Alakasa Industrindo Tbk
ALMI,Alumindo Light Metal Industry Tbk.
ALTO,Tri Banyan Tirta Tbk.
AMAG,Asuransi Multi Artha Guna Tbk.
AMAR,Bank Amar Indonesia Tbk.
AMFG,Asahimas Flat Glass Tbk.
AMIN,Ateliers Mecaniques D Indonesie Tbk.
AMOR,Ashmore Asset Management Indonesia Tbk.
AMRT,Sumber Alfaria Trijaya Tbk.
ANDI,Andira Agro Tbk.
ANJT,Austindo Nusantara Jaya Tbk.
ANTM,Aneka Tambang Tbk.
APEX,Apexindo Pratama Duta Tbk.
APIC,Pacific Strategic Financial Tbk.
APII,Arita Prima Indonesia Tbk.
APLI,Asiaplast Industries Tbk.
APLN,Agung Podomoro Land Tbk.
APOL,Arpeni Pratama Ocean Line Tbk.
APOL-W2,Waran Seri II Arpeni Pratama Ocean Line
ARGO,Argo Pantes Tbk
ARII,Atlas Resources Tbk.
ARKA,Arkha Jayanti Persada Tbk.
ARMY,Armidian Karyatama Tbk.
ARNA,Arwana Citramulia Tbk.
ARTA,Arthavest Tbk
ARTI,Ratu Prabu Energi Tbk
ARTO,Bank Artos Indonesia Tbk.
ASBI,Asuransi Bintang Tbk.
ASDM,Asuransi Dayin Mitra Tbk.
ASGR,Astra Graphia Tbk.
ASII,Astra International Tbk.
ASJT,Asuransi Jasa Tania Tbk.
ASMI,Asuransi Kresna Mitra Tbk.
ASRI,Alam Sutera Realty Tbk.
ASRM,Asuransi Ramayana Tbk.
ASSA,Adi Sarana Armada Tbk.
ATIC,Anabatic Technologies Tbk.
AUTO,Astra Otoparts Tbk.
BABP,Bank MNC Internasional Tbk.
BABP-W3,Waran Seri IV Bank MNC Internasional Tbk
BABP-W4,Waran Seri V Bank MNC Internasional Tbk.
BACA,Bank Capital Indonesia Tbk.
BACA-W2,Waran Seri III Bank Capital Indonesia Tb
BAJA,Saranacentral Bajatama Tbk.
BALI,Bali Towerindo Sentra Tbk.
BAPA,Bekasi Asri Pemula Tbk.
BAPI,Bhakti Agung Propertindo Tbk.
BAPI-W,Waran Seri I Bhakti Agung Propertindo Tb
BATA,Sepatu Bata Tbk.
BAYU,Bayu Buana Tbk
BBCA,Bank Central Asia Tbk.
BBHI,Bank Harda Internasional Tbk.
BBKP,Bank Bukopin Tbk.
BBLD,Buana Finance Tbk.
BBMD,Bank Mestika Dharma Tbk.
BBNI,Bank Negara Indonesia (Persero) Tbk.
BBRI,Bank Rakyat Indonesia (Persero) Tbk.
BBRM,Pelayaran Nasional Bina Buana Raya Tbk.
BBTN,Bank Tabungan Negara (Persero) Tbk.
BBYB,Bank Yudha Bhakti Tbk.
BCAP,MNC Kapital Indonesia Tbk.
BCIC,Bank JTrust Indonesia Tbk.
BCIP,Bumi Citra Permai Tbk.
